,Statement,Actor1,Actor2,Interaction,Information,Decision
24,The WASP platform should allow users to delegate and remove the rights to give access to parts of the user profile to other users.,users,rights,delegate remove,user profile,users
25,The WASP platform shall provide functionality to retrieve the current location of the user.,wasp platforms,users,retrieve,current location,
26,The WASP platform must be able to retrieve status information from the 3G Platform.,wasp platforms,status information,retrieve,status information,
27,The WASP platform must be able to retrieve location information from the 3G Platform.,wasp platforms,location information,retrieve,location information,
28,It must be possible for a WASP application to send out messages to users using the WASP platform.,wasp applications,users,send,messages,
29,"A WASP application should be able to automatically adapt content and the presentation of functionality to the users device, for which the WASP platform may offer some generic adaptation services.",wasp applications,content functionality,adapt,users device,adaptation services
30,The WASP platform must be able to combine knowledge about the end-user (in terms of profile and context) and a specific information request into a search query on the service registry.,wasp platforms,search queries,combine,profile context request,service registry
31,The WASP platform must be able to draw a map of a given area.,wasp platforms,maps,draw,area,
32,The WASP platform must be able to show the location of users on a map.,wasp platforms,users,show,location map,
33,The WASP platform must be able to show the location of various points of interests on a map.,wasp platforms,points interests,show,location map,
34,The WASP platform shall be able to obtain the geographic location of points of interests.,wasp platforms,points interests,obtain,geographic location,
35,The WASP platform must be able to display a route connecting two or more points on a map.,wasp platforms,routes,display,points map,
36,The WASP platform should be able to provide the end-user with walking or driving instructions.,wasp platforms,users,provide,walking driving instructions,
37,"The WASP platform must be able to render all maps on small, mobile devices, as well as large, fixed terminals.",wasp platforms,maps,render,devices,
38,The platform must be able to access points of interests and services from a map.,platforms,points services,access,map,
39,"The WASP platform should be able to calculate a route between two or more arbitrarily chosen points, avoiding traffic jams or construction works.",wasp platforms,routes,calculate,traffic construction works,
40,"The WASP platform should have access to information about traffic jams and construction works, as well as suggested alternative routes.",wasp platforms,information routes,access,traffic construction works,
41,The WASP platform should be possible to determine the location of touristic attractions close to a calculated route.,wasp platforms,touristic attractions,determine,location route,
42,The WASP platform should be able to determine whether a traffic jam lies on a suggested route.,wasp platforms,traffic jams,determine,suggested route,
43,The WASP platform must allow users to set an alert on an event.,users,events,set,alert,
44,The WASP platform should allow the end-user to specify the notification type when setting an alert.,wasp platforms,users,specify,notification type alert,
45,The WASP platform must maintain a list of events the end-user can be notified about.,wasp platforms,events,maintain,list,
46,The WASP platform must allow the end-user to remove previously set alerts on events.,users,alerts,remove,events,
47,"The WASP platform must notify the end-user about the occurrence of an event for which an alert was set, as soon as the event occurs.",wasp platforms,users,notify,event alert,
48,The WASP platform should be able to decide how to notify the user of an alert for which an event was set.,wasp platforms,users,decide notify,alert event,
49,The WASP platform must actively monitor all events.,wasp platforms,events,monitor,,
50,"If the user cannot be notified of the event the first time, the WASP platform should retry to notify the user of the occurrence of the event, until the user has been notified or a specified time-out elapses.",wasp platforms,users,retry notify,event,time-out
51,There must not be any application data on the users device.,application data,users device,store,,
52,Only terminal capabilities may be terminal dependent and those capabilities may be stored on the users device.,terminal capabilities,users device,stored,,
53,The WASP platform must maintain authentication credentials per user.,wasp platforms,authentication credentials,maintain,user,
54,The WASP platform should be able to request the users ID from the 3G platform.,wasp platforms,users ids,request,users ids,
55,The WASP platform should have a (limited) number of classification schemes for POIs and services.,wasp platforms,classification schemes,have,pois services,
56,The WASP platform must have a (web-based) form to specify simple POI and service profiles.,wasp platforms,forms,specify,poi service profiles,
57,The WASP platform should offer a tool that helps the 3rd party service provider to specify more complex profiles.,wasp platforms,service providers,offer,complex profiles,
58,The platform must be able to store POI and service profiles.,platforms,profiles,store,poi service,
59,The WASP platform must allow for users to have different roles.,wasp platforms,users roles,allow,,
60,Profiles must have associated expiry dates.,profiles,expiry dates,associate,,
61,The registry must check for their existence and should enforce them.,registries,existence,check enforce,,
62,The registry may supply a default expiry date if none was specified.,registries,expiry dates,supply,default expiry date,
63,"Services must have associated schedule information (this service is available weekdays from 8:00 till 16:00), a service may be available 24/7.",services,schedule information,have,availability weekdays hours,
64,"The registry must check for their existence, it may supply a default schedule if none was specified.",registries,existence,check supply,default schedule,
65,"The WASP platform shall follow international standards as much as possible for web service description, invocation, and registries as well as for the profiles of users, points of interests and services, and internal standards should be developed such that they are flexible and easily extensible.",wasp platforms,standards,follow develop,web service profiles,
66,The WASP platform shall handle all requests in a best-effort manner.,wasp platforms,requests,handle,,
