Statement,Actor1,Interaction,Information,Actor2,Decision
The wasp platforms must allow end-users to set an alert on an event.,wasp platforms,set alert,,users,
The wasp platforms should allow the end-user to specify the notification type when setting an alert.,wasp platforms,specify notification type,,users,set alert
The wasp platforms must maintain a list of events the end-user can be notified about.,wasp platforms,notify,list events,users,
The wasp platforms must allow the end-user to remove previously set alerts on events.,wasp platforms,remove,previous alerts,users,
"The wasp platforms must notify the end-user about the occurrence of an event for which an alert was set, as soon as the event occurs.",wasp platforms,notify,occurance of set event,users,
The wasp platforms should be able to decide how to notify the user of an alert for which an event was set.,wasp platforms,decide how to notify,set event,users,
The wasp platforms must actively monitor all events.,wasp platforms,monitor,all event,,
"If the user cannot be notified of the event the first time, the wasp platforms should retry to notify the user of the occurrence of the event, until the user has been notified or a specified time-out elapses.",wasp platforms,retry to notify,until user notified,users,
There must not be any application data on the end-users device.,application,no data on users device,,users,
Only terminal capabilities may be terminal dependent and those capabilities may be stored on the end-users device.,terminal,stored,"terminal capabilities, users device",users,
The wasp platforms must maintain authentication credentials per user.,wasp platforms,maintain authentication,,users,
The wasp platforms should be able to request the users ID from the 3G platform.,wasp platforms,request,user id,3G platform,
The wasp platforms should have a (limited) number of classification schemes for POIs and servicess.,wasp platforms,have limited classification schemes,,POIs and servicess,
The wasp platforms must have a (web-based) form to specify simple POI and services profiles.,wasp platforms,have web based form,,POIs and servicess,
The wasp platforms should offer a tool that helps the 3rd party services provider to specify more complex profiles.,wasp platforms,offer tool,to specify more complex profiles,3rd party servicess,
The platform must be able to store POI and services profiles.,wasp platforms,store,,POIs and servicess,
The wasp platforms must allow for users to have different roles.,wasp platforms,allow,to have different roles,users,
Profiles must have associated expiry dates.,profiles,associated,,expiry dates,
The registries must check for their existence and should enforce them.,registries,check,,expiry dates,
The registries may supply a default expiry date if none was specified.,registries,supply default,,expiry dates,
"servicess must have associated schedule information (this services is available weekdays from 8:00 till 16:00), a services may be available 24/7.",services,associated,,schedule information,
"The registries must check for their existence, it may supply a default schedule if none was specified.",registries,check existence,default if not specified,schedule information,
"The wasp platforms shall follow international standards as much as possible for web services description, invocation, and registries as well as for the profiles of users, points of interests and servicess, and internal standards should be developed such that they are flexible and easily extensible.",wasp platforms,be developed,,international standards,
The wasp platforms shall handle all requests in a best-effort manner.,wasp platforms,handle all request,,best-effor manner,
